,Unnamed: 0,name,Background,Clothes,Eyes,Eyewear,Fur,Hat,Mouth,trait_1_rarity,trait_3_rarity,trait_4_rarity,Eyewear_rarity,trait_0_rarity,trait_5_rarity,trait_2_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
384,384,Okay Bear #9641,Grey,Faded Denim Jacket,Okay,Circle Sunglasses,Ginger,Backwards Skate Cap,Grimace,12.61,1.93,20.23,2.82,6.0600000000000005,2.12,0.99,385,1.7658795060049986e-10,0.99,6.6800000000000015,7,8oJc9EUCCCkTFdWHWzPtYLJiQjDnu9SGuZx2F4z6KhJx,121.297
5195,5195,Okay Bear #7370,Yellow,Urban Hoodie,Golden Glow,,Tan,Skate Cap,Pouting,12.22,1.2,1.99,66.72,14.13,5.510000000000002,12.31,5196,1.8660074770629692e-08,1.2,16.297142857142855,6,CcB3RSakFAt1R2oBnnQYa1sMKeu6wjr6o4aigG3opiz9,121.27948
153,153,Okay Bear #5375,Warm Grey,Torn Sleeveless Tee,White Glow,Wayfarer Sunglasses,Polar,Chullo,Ohh,12.27,3.15,3.41,4.38,6.41,0.7799999999999999,2.43,154,7.013624519281981e-11,0.7799999999999999,4.69,7,6BGTs64YFdZHgjFnZHtA3VENMnNqwAwDiGEvPx2w71Ch,121.242805
467,467,Okay Bear #6493,Grey,Hawaiian Shirt,Happy,Round Glasses,Polar,Mumford Hat,Hmm,12.61,1.78,7.88,3.74,6.41,1.7500000000000002,3.02,468,2.2409694173642775e-10,1.7500000000000002,5.312857142857141,7,Fi1VrnHu4meWQHoXzArr6aX9vZ9WwfPERuvnJL7iXUy4,121.24008
668,668,Okay Bear #8231,Warm Grey,,Sad,Circle Sunglasses,Panda,Worn Out Beanie,Yum,12.27,19.65,5.07,2.82,3.9,2.6,0.98,669,3.4255334741486036e-10,0.98,6.755714285714286,6,6JMbeFA9y86Khzptm5WjnC4YzZSyrYoKMDZ5ahwg44Fb,121.219765
524,524,Okay Bear #494,Green,Autumn Sweater,Closed,Round Glasses,Grizzly,Worn Out Beanie,Oou,12.6,1.7500000000000002,3.1,3.74,14.4,2.6,2.71,525,2.5938629196480003e-10,1.7500000000000002,5.8428571428571425,7,DVWwtjtdCjZEDwyASsTN474Uo2VrReEpyjthofyDEZi8,121.15527
1377,1377,Okay Bear #4375,Grey,Suede Jacket,Golden Glow,,Green,Worn Out Cap,Beaming Smile,12.61,2.02,1.99,66.72,4.5600000000000005,2.79,2.33,1378,1.002537293638716e-09,1.99,13.288571428571426,6,f1NGicdhPrjeBvcnk936kB4qUtoKW6GzNhYEi7GxMg7,121.10899
210,210,Okay Bear #1549,Yellow,Loose Overalls,Happy,Aviator Sunglasses,Wood,Mumford Hat,Ohh,12.22,2.68,7.88,4.09,2.01,1.7500000000000002,2.43,211,9.021856294950408e-11,1.7500000000000002,4.722857142857143,7,7Rh3H7ZBhnH78P5ARR2XBBsT5pKXBJAJvZFgNQN5uF8B,121.093025
140,140,Okay Bear #7528,Grey,Silk Robe,Spirited,Pixel Glasses,Pink,Ear Tag,Proud,12.61,0.6,6.2,3.2,4.26,1.91,5.28,141,6.448888878981121e-11,0.6,4.865714285714286,7,G8D9zg3vDi2o3icNtHz5TbzqcUikQHzp6BaDVrJPYnNz,121.08198
347,347,Okay Bear #3775,Grey,Denim Jacket,Okay,Punk Sunglasses,Ginger,Black Bucket Hat,Grimace,12.61,0.91,20.23,2.69,6.0600000000000005,4.12,0.99,348,1.5435108137246158e-10,0.91,6.801428571428572,7,AKuibnYdagb3iQKfYFwfdipuZYa3ngN3KGSZD257zNJD,121.06877
737,737,Okay Bear #4469,Blue,Hawaiian Shirt,Okay,Barrel Sunglasses,Sun,Mumford Hat,Wry,12.52,1.78,20.23,2.11,2.59,1.7500000000000002,9.22,738,3.975313678737461e-10,1.7500000000000002,7.171428571428572,7,EddAgX2XjkVLuPYDHbQeU81nAAuXBWZXQBmjofiBMCAu,120.93088
623,623,Okay Bear #4172,Purple,,Spirited,Aviator Sunglasses,Pink,Flat Cap,Bubble Gum,11.87,19.65,6.2,4.09,4.26,1.22,1.01,624,3.104695947083591e-10,1.01,6.9,6,5suiV8KNjSnponTqztcae6LCtaiwKMQKYaTzqq5PDnUa,120.92664
7284,7284,Okay Bear #2744,Warm Grey,Faded Denim Jacket,Golden Glow,,Andean,,Okay,12.27,1.93,1.99,66.72,3.77,26.98,23.05,7285,7.371658554094753e-08,1.93,19.53,5,fwQPsSDZmFUZAThzYeZsZEjWfhGP3N9fDTZNeTdaCxK,120.91309
1024,1024,Okay Bear #2188,Blue,Pullover Windbreaker,Golden Glow,Barrel Sunglasses,Grizzly,,Ugh,12.52,2.04,1.99,2.11,14.4,26.98,1.51,1025,6.291459608163518e-10,1.51,8.792857142857143,6,EA3AEkSvuw4bnrt7KZCBg1QZrraL8cVdR1wviESSD5RZ,120.90586
1014,1014,Okay Bear #3128,White,Faded Denim Jacket,Disappointed,Circle Sunglasses,Sun,Okay Beanie,Pouting,12.65,1.93,9.4,2.82,2.59,3.01,12.31,1015,6.210822376831243e-10,1.93,6.387142857142856,7,EeYwiFycthJGcL2mK6vGoitiqnXhKsJJ3k4ADPSVj67v,120.88129
393,393,Okay Bear #221,Green,Wool Overcoat,Happy,Holographic,Black,Chullo,Okay,12.6,1.2,7.88,1.71,4.95,0.7799999999999999,23.05,394,1.81319640950448e-10,0.7799999999999999,7.452857142857143,7,96251DxoERUeLXorX4qhG6sosx9grRneHkEwgkun42EU,120.88093
1360,1360,Okay Bear #727,Warm Grey,Okay Tee,Closed,Barrel Sunglasses,Grizzly,Runner Cap,Wry,12.27,2.73,3.1,2.11,14.4,3.39,9.22,1361,9.86153386054375e-10,2.11,6.7457142857142856,7,3xU4Hf7AdJxfcXK4qsBWZDJ7432B1L52skogKwr3CGGE,120.821686
534,534,Okay Bear #7458,Grey,Overalls,Okay,Flying Goggles,Dark Brown,Backwards Skate Cap,Ugh,12.61,1.39,20.23,1.83,12.68,2.12,1.51,535,2.633958457867276e-10,1.39,7.481428571428572,7,6uuhYNfR88JeW8a6w4eHs6sXCVia3UGM6gJ5Eo99Vrcq,120.77434
398,398,Okay Bear #6519,Green,Torn Tee,Annoyed,Aviator Sunglasses,Green,Backwards Skate Cap,Oou,12.6,1.04,13.089999999999998,4.09,4.5600000000000005,2.12,2.71,399,1.8379632923440592e-10,1.04,5.744285714285715,7,94wgvtQprjGoUmQsE3ac2hDUWysomJtsBkQuV3Ma7n38,120.74261
625,625,Okay Bear #5092,Purple,Urban Hoodie,Okay,Wayfarer Sunglasses,Polar,Mumford Hat,Haa,11.87,1.2,20.23,4.38,6.41,1.7500000000000002,2.2,626,3.11473223364996e-10,1.2,6.862857142857143,7,8BQ46nDSYwDvyTosNETx34pXo7FiiEguX6UFMgBRrBzJ,120.73594
953,953,Okay Bear #5547,Yellow,Hooded Cardigan,Defeated,Aviator Sunglasses,Green,Skate Cap,Proud,12.22,1.61,5.26,4.09,4.5600000000000005,5.510000000000002,5.28,954,5.61508711058886e-10,1.61,5.504285714285714,7,EasCJGvt1t1X7FnJMgBMAc2Ysk7uVtycss4iRc2vduEE,120.7063
117,117,Okay Bear #874,Purple,Vintage Windbreaker,Sarcastic,Holographic,Ginger,Worn Out Beanie,Drool,11.87,1.93,9.65,1.71,6.0600000000000005,2.6,0.97,118,5.777622443157319e-11,0.97,4.97,7,52vCsn5W9qCNu7ViVtnA2Qg6uY9DDtkXBVJsWZ6QZCSZ,120.69549
731,731,Okay Bear #8970,Purple,Wool Overcoat,Spirited,Flying Goggles,Black,Backwards Skate Cap,Okay,11.87,1.2,6.2,1.83,4.95,2.12,23.05,732,3.9091895920360803e-10,1.2,7.317142857142858,7,6SbooUbhD8jGdW6iHn7DjiibP2pXjnwgNoeNx5nq9UBZ,120.69134
549,549,Okay Bear #8446,Green,Summer Shirt,Golden Glow,,Green,Ear Tag,Pencil,12.6,2.29,1.99,66.72,4.5600000000000005,1.91,0.8099999999999999,550,2.7027032898908847e-10,0.8099999999999999,12.982857142857142,6,6gmQ7zzd4jpDQ2kKB4rLS4A3qbiQpFQwBH4nxpEAm6Qy,120.655716
1349,1349,Okay Bear #9224,White,Faded Denim Jacket,Golden Glow,Wayfarer Sunglasses,Dark Brown,Beret,Pouting,12.65,1.93,1.99,4.38,12.68,2.92,12.31,1350,9.699183577747293e-10,1.93,6.98,7,5s4Bkqqis4drWgGZa5icdasKTGwuzg6GhEAVEZv3bgY2,120.630554
782,782,Okay Bear #8233,Yellow,Hoodie with Headphones,Annoyed,Round Glasses,Panda,Pencil,Sneer,12.22,2.27,13.089999999999998,3.74,3.9,3.790000000000001,2.11,783,4.235401481032362e-10,2.11,5.874285714285714,7,9arptWPMdjvN8xzB6Uc4jRnrfGp1xzhJp5daeUer9foJ,120.62992
514,514,Okay Bear #1406,Yellow,Denim Jacket,Sad,Clear Glasses,Andean,Skate Cap,Proud,12.22,0.91,5.07,4.07,3.77,5.510000000000002,5.28,515,2.5167602056159443e-10,0.91,5.2614285714285725,7,3aDeDJfWwSBwYAu1WTd1YAem2jhdvzptAxUm554UMEqL,120.54375
223,223,Okay Bear #3875,Yellow,Autumn Sweater,White Glow,Snow Goggles,Black,,Pencil,12.22,1.7500000000000002,3.41,1.21,4.95,26.98,0.8099999999999999,224,9.545115041497035e-11,0.8099999999999999,7.332857142857143,6,AMF9w1x3s2Bz2fNpyvB2Tu9qVov246ApuYt8PE8XnXKH,120.53443
102,102,Okay Bear #4963,White,Puffer Jacket,Tired,Punk Sunglasses,Black,Visor,Grimace,12.65,2.27,4.54,2.69,4.95,3.09,0.99,103,5.3103529660214404e-11,0.99,4.454285714285715,7,6XA2WioJYGUhb8MWvdb2aDSCG4suBaNiZTRLczEvGVJF,120.53108
935,935,Okay Bear #1445,Yellow,Golf Polo,White Glow,Circle Sunglasses,Green,Skate Cap,Wry,12.22,2.0,3.41,2.82,4.5600000000000005,5.510000000000002,9.22,936,5.444425400126171e-10,2.0,5.677142857142857,7,EPoH2645VrpT22z2ejnGvuEwB6sPKwGvjPTj7RNBFghB,120.52431
1802,1802,Okay Bear #9401,White,Hoodie with Headphones,Golden Glow,,Pink,Sweatband,Oou,12.65,2.27,1.99,66.72,4.26,3.52,2.71,1803,1.549341130194621e-09,1.99,13.445714285714285,6,7oNaUFWHKwK1nn6a4U6mUaSLNWhjmyNcRSDXJ6E6zCC4,120.50754
371,371,Okay Bear #8555,Cream,Woven Sweater,Disappointed,Flying Goggles,Polar,Army Hat,Beaming Smile,13.26,2.08,9.4,1.83,6.41,2.39,2.33,372,1.6935485597798231e-10,1.83,5.385714285714287,7,EcLkHRFuiwg6rPyhY6raVaBDKcM8B6vft1anb4zgzg6Y,120.49631
529,529,Okay Bear #2947,Cream,Faded Denim Jacket,Annoyed,Circle Sunglasses,Black,Sticky Note,Ohh,13.26,1.93,13.089999999999998,2.82,4.95,2.3,2.43,530,2.613538466475136e-10,1.93,5.825714285714286,7,34KdcBwcvT6fR7hJbfSbxxZwKcBAqW89c4hmh2c5d98t,120.47556
184,184,Okay Bear #1917,Warm Grey,Tweed Suit,Spirited,Round Glasses,Panda,Army Hat,Huh,12.27,0.88,6.2,3.74,3.9,2.39,3.44,185,8.028076035462916e-11,0.88,4.688571428571429,7,zoKpfnxtHPehdTTFGxE6HnyF1mPaLPw1owTSy3fHJsa,120.45513
412,412,Okay Bear #5273,Blue,Tech Jacket,Wide Eyed,,Black,Mumford Hat,Grimace,12.52,1.04,2.6,66.72,4.95,1.7500000000000002,0.99,413,1.9370708067110403e-10,0.99,12.938571428571427,6,B6Ji7PPe44fXJ7PJG5Nc8n7mf4HNwMiJYYs7P7Y8dtQw,120.41736
143,143,Okay Bear #2391,Yellow,Cord Tracksuit,Disappointed,Round Glasses,Polar,Okay Beanie,Gaiter,12.22,1.39,9.4,3.74,6.41,3.01,0.5700000000000001,144,6.567269560769518e-11,0.5700000000000001,5.248571428571428,7,Bhq7ydDThYcUJ6DyBp5hDfFhtuXZA7k2ZkWnnvj9s7zX,120.37255
8177,8177,Okay Bear #1434,White,,Golden Glow,,Tan,Earrings,Pouting,12.65,19.65,1.99,66.72,14.13,2.66,12.31,8178,1.5270176106371903e-07,1.99,18.58714285714285,5,3mUGY5ZjEGq6ZfGYWGWExEJuGyQG8JrcTwjhiqPHP2so,120.348885
85,85,Okay Bear #9940,Green,Faded Denim Jacket,Disappointed,Barrel Sunglasses,Polar,Head Cam,Bubble Gum,12.6,1.93,9.4,2.11,6.41,1.46,1.01,86,4.5590087119414326e-11,1.01,4.9885714285714275,7,4haEdvRRMVuAGU7MuCYvrhxjf43ZQrVvgQAwEk8mvcCC,120.22365
401,401,Okay Bear #8963,Grey,Legacy Windbreaker,Disappointed,Round Glasses,Dark Brown,Beret,Yum,12.61,1.15,9.4,3.74,12.68,2.92,0.98,402,1.8498672486886586e-10,0.98,6.211428571428571,7,J4xjGzjg9qQy9JXj5DTbF26JvnWt5KeTufrvC4ZgD7Dy,120.19282
116,116,Okay Bear #5055,Blue,Scarf,Golden Glow,Pixel Glasses,Ginger,Classic Cap,Oou,12.52,1.3,1.99,3.2,6.0600000000000005,3.37,2.71,117,5.736177105974016e-11,1.3,4.450000000000001,7,G6ohqZsoKXV62bsE4vJR21RrJfJwFecLZukZA4UAVvY4,120.16549
606,606,Okay Bear #8558,Purple,Olive Windbreaker,Tired,Aviator Sunglasses,Sun,Worn Out Beanie,Clean Smile,11.87,2.56,4.54,4.09,2.59,2.6,7.969999999999999,607,3.028316609729116e-10,2.56,5.174285714285714,7,Hj2RqbeBEm1UwkYVBHd3kiQGyhcT8JCpBb2uCaqF87mJ,120.150116
252,252,Okay Bear #3200,Grey,Vintage Windbreaker,Spirited,Barrel Sunglasses,Pink,Pencil,Sneer,12.61,1.93,6.2,2.11,4.26,3.790000000000001,2.11,253,1.0846204903431132e-10,1.93,4.715714285714285,7,9SLwXTH2PjBjPT2wcB6y4wZPpBowWTXvqAF1fgdvkud6,120.145515
358,358,Okay Bear #5143,Blue,Urban Hoodie,Interested,Aviator Sunglasses,Panda,Black Bucket Hat,Ohh,12.52,1.2,6.710000000000001,4.09,3.9,4.12,2.43,359,1.6099022218428862e-10,1.2,4.9957142857142856,7,B8ruDrpKzXJixZmLSEEbdzeato8XtfDX1CWPW1apLd2e,120.13523
631,631,Okay Bear #7133,Yellow,Sleeveless Tee,White Glow,VR Headset,Wood,,Proud,12.22,2.86,3.41,0.92,2.01,26.98,5.28,632,3.1394340961574715e-10,0.92,7.668571428571428,6,J9to892HidrQHvm9x53tRm3V4Fmz2rewdyEKPX4GBsno,120.133286
5731,5731,Okay Bear #510,Blue,,White Glow,,Wood,Flat Hat,Clean Smile,12.52,19.65,3.41,66.72,2.01,2.9000000000000004,7.969999999999999,5732,2.600337247608517e-08,2.01,16.454285714285714,5,CibnKMe1248tjhvaAr9mtrNWt8fyMzPuZsV6bsjU5QMu,120.11438
769,769,Okay Bear #949,White,Golf Polo,White Glow,Barrel Sunglasses,Panda,,Wheat,12.65,2.0,3.41,2.11,3.9,26.98,2.17,770,4.1564603472592205e-10,2.0,7.602857142857141,6,A9hvutjfeANGdrQrEwvA4qJiVWoUihkibsDP1wTo5dax,120.07664
1818,1818,Okay Bear #2894,Warm Grey,Lumber Jacket,Sad,Clear Glasses,Wood,,Wry,12.27,1.24,5.07,4.07,2.01,26.98,9.22,1819,1.5697754769888962e-09,1.24,8.694285714285714,6,HwEmUSJajGozFQEsqseKA55SysrTwEi5xFvDpFY1d6Mp,120.069214
579,579,Okay Bear #1278,Green,Okay Tee,Tired,Clear Glasses,Green,Sticky Note,Gah,12.6,2.73,4.54,4.07,4.5600000000000005,2.3,4.26,580,2.8397867730103875e-10,2.3,5.008571428571429,7,4xD7At3mnTCVZHwwHVpcxG9g4nToibJLtJNKZ4zmwxY4,120.03977
356,356,Okay Bear #428,Grey,Pullover Windbreaker,Sad,Wayfarer Sunglasses,Panda,Visor,Beaming Smile,12.61,2.04,5.07,4.38,3.9,3.09,2.33,357,1.6040072661793789e-10,2.04,4.774285714285715,7,CMvzYKWthvT47psSK3gUh8vsZTKWjY4W6UZbdeC5iB9v,120.02684
1515,1515,Okay Bear #4732,Warm Grey,Aviator Jacket,Golden Glow,Round Glasses,Red Panda,,Okay,12.27,0.75,1.99,3.74,2.76,26.98,23.05,1516,1.1755807389538144e-09,0.75,10.22,6,7GVhjx7cei2zFU52KTM1FAHDyrkqXNRMdqqZ4HYDhTjb,120.012634
780,780,Okay Bear #846,Green,Faded Denim Jacket,Annoyed,Punk Sunglasses,Sun,Army Hat,Clean Smile,12.6,1.93,13.089999999999998,2.69,2.59,2.39,7.969999999999999,781,4.224504403113424e-10,1.93,6.18,7,9v4PEKCGsaqUNge3wRF7HemuZk69Z6iw7bdV39L2YQPc,119.967224
136,136,Okay Bear #1637,Green,Vintage Shirt,Disappointed,Wayfarer Sunglasses,Wood,Ear Tag,Forced Smile,12.6,2.75,9.4,4.38,2.01,1.91,1.16,137,6.353201312488799e-11,1.16,4.887142857142857,7,4o969MTDuhwxiFqMskUuNrEpShwbuNDYA2rX46CfF795,119.949104
4192,4192,Okay Bear #8084,Purple,Double Jacket,Okay,Aviator Sunglasses,Dark Brown,Pom Pom Beanie,Pouting,11.87,2.51,20.23,4.09,12.68,2.56,12.31,4193,9.850559599737296e-09,2.51,9.464285714285714,7,CXgQ8Cae7mti4zZziPZFzhkFmjvuR3ZjFSRyEpddoRWF,119.89512
1228,1228,Okay Bear #8866,Purple,Vintage Windbreaker,Annoyed,Punk Sunglasses,Panda,Baker Boy Hat,Pouting,11.87,1.93,13.089999999999998,2.69,3.9,2.14,12.31,1229,8.287745147473653e-10,1.93,6.847142857142857,7,5vMaNpujccwXdFyRZwyqPv6MiKhLhSoyJhikeBVpfhRD,119.88886
970,970,Okay Bear #8765,Purple,Double Jacket,Tired,,Black,Runner Cap,Eight Ball,11.87,2.51,4.54,66.72,4.95,3.39,0.38,971,5.754728309584416e-10,0.38,13.480000000000002,6,4biC4VzD31LdcMrDDLKGfPJGvatVW6gtXamFz58c7Jp7,119.88843
4547,4547,Okay Bear #2167,Purple,Travel Coat,Golden Glow,,Tan,Army Hat,Okay,11.87,1.01,1.99,66.72,14.13,2.39,23.05,4548,1.239059606914792e-08,1.01,17.30857142857143,6,Ar5jK2DKbQ4aez3naskPMyd3jyy1wkhFdQk1mfqZr3K4,119.85844
469,469,Okay Bear #5198,Green,Pullover Windbreaker,Wide Eyed,Flying Goggles,Green,Mumford Hat,Okay,12.6,2.04,2.6,1.83,4.5600000000000005,1.7500000000000002,23.05,470,2.2495672010448003e-10,1.7500000000000002,6.918571428571428,7,BMj9W17F3FRVok8pUdX8mXRUDCWqbQEWF6NRM4362vBU,119.84881
696,696,Okay Bear #3885,Cream,Sleeveless Tee,Sarcastic,Holographic,Tan,Black Bucket Hat,Bubble Gum,13.26,2.86,9.65,1.71,14.13,4.12,1.01,697,3.6795417294655566e-10,1.01,6.677142857142857,7,D4beLF2y8m1ZVGtdHFhg3mWj9y4q68bntxFJ1apP3ynV,119.84068
547,547,Okay Bear #2558,Warm Grey,Scarf,Interested,Punk Sunglasses,Panda,Worn Out Beanie,Wry,12.27,1.3,6.710000000000001,2.69,3.9,2.6,9.22,548,2.6917305974764916e-10,1.3,5.527142857142856,7,FSbF4zg5tZRE717mdWKo83PBT8GuhxmkSW5dWjVpCF3K,119.82615
723,723,Okay Bear #6440,Cream,Overalls,Tired,Snow Goggles,Polar,,Haa,13.26,1.39,4.54,1.21,6.41,26.98,2.2,724,3.85231864956606e-10,1.21,7.998571428571428,6,HubkGZxpzWkmqXC6BVZ6LTgX8av2Ln8Si8Wx7C5bLNsi,119.8149
648,648,Okay Bear #8842,Cream,Lumber Jacket,Sarcastic,Aviator Sunglasses,Tan,Sweatband,Bubble Gum,13.26,1.24,9.65,4.09,14.13,3.52,1.01,649,3.260033250816925e-10,1.01,6.7,7,ATyHKg1mGN7nHoTmEuJe2BA94L5zK7t6pvBsT2UjCdsq,119.8138
5022,5022,Okay Bear #7636,Blue,Striped Tee,Golden Glow,,Sand,Worn Out Cap,Pouting,12.52,3.5700000000000003,1.99,66.72,8.18,2.79,12.31,5023,1.6672365360104853e-08,1.99,15.44,6,Eej4VZJoxjNPMAemhtExtMrnFtR6z9px3gqVMXEeRv5n,119.80429
2675,2675,Okay Bear #5541,Grey,Summer Shirt,Golden Glow,,Tan,Pom Pom Beanie,Beaming Smile,12.61,2.29,1.99,66.72,14.13,2.56,2.33,2676,3.231452162534721e-09,1.99,14.661428571428573,6,5jtVt6C7qeZRLuWR7PYvL5uHbCbRnxLfNgyLfYvSyQjj,119.71618
1504,1504,Okay Bear #4539,Blue,Loose Overalls,Closed,,Wood,Skate Cap,Ugh,12.52,2.68,3.1,66.72,2.01,5.510000000000002,1.51,1505,1.160597038215659e-09,1.51,13.435714285714285,6,CHcFvKdud2rxzU9PdjPVnhSBZBHFKhzPmCrQ4eFTgNXB,119.71198
1118,1118,Okay Bear #7318,Green,Cord Tracksuit,White Glow,Clear Glasses,Dark Brown,Skate Cap,Gah,12.6,1.39,3.41,4.07,12.68,5.510000000000002,4.26,1119,7.234601016997901e-10,1.39,6.274285714285715,7,FJpU1NVBmvDApupF8S7d5snNTW28dgJi2F48dcaXMxkt,119.70834
369,369,Okay Bear #6798,Green,Camel Coat,Golden Glow,Circle Sunglasses,Polar,Worn Out Beanie,Pouting,12.6,1.16,1.99,2.82,6.41,2.6,12.31,370,1.682752132102205e-10,1.16,5.698571428571428,7,E5cht95tmVgQVbLUsak2ihtBRPFKeE7mS86Ro184hfAt,119.70581
489,489,Okay Bear #3265,Warm Grey,Olive Windbreaker,Disappointed,Punk Sunglasses,Ginger,Sticky Note,Sneer,12.27,2.56,9.4,2.69,6.0600000000000005,2.3,2.11,490,2.335864127395738e-10,2.11,5.3414285714285725,7,3EL8nhdpBoNtyAawPN9wd4r2wNTypLGvXYbjh8xg3iAf,119.70577
8883,8883,Okay Bear #3402,Yellow,Puffer Jacket,Golden Glow,,Grizzly,,Okay,12.22,2.27,1.99,66.72,14.4,26.98,23.05,8884,3.2982346073927763e-07,1.99,21.090000000000003,5,3P4fyRfwH1gAKM5ntZgw4SQ9v7KKJhTqWhhrrinCmyDF,119.7011
527,527,Okay Bear #7320,White,Hawaiian Shirt,Annoyed,Holographic,Ginger,Sweatband,Ohh,12.65,1.78,13.089999999999998,1.71,6.0600000000000005,3.52,2.43,528,2.612569461264766e-10,1.71,5.891428571428571,7,J2Xe5iza3qGQE7fRV2LKEv4V2RiTbaEitwjqNMdRQjj7,119.665184
555,555,Okay Bear #1479,Blue,Travel Coat,Sad,Circle Sunglasses,Grizzly,Black Bucket Hat,Raspberry,12.52,1.01,5.07,2.82,14.4,4.12,2.53,556,2.71370727932908e-10,1.01,6.067142857142858,7,DC8RDnd91rMV87t5LKHG77jm6kR5kURuJCw2npBCD9TX,119.65423
519,519,Okay Bear #3734,White,Autumn Sweater,Sarcastic,Pixel Glasses,Albino,Ear Tag,Gah,12.65,1.7500000000000002,9.65,3.2,4.5600000000000005,1.91,4.26,520,2.5363762322976006e-10,1.7500000000000002,5.425714285714285,7,9uY1FCLvDP65njud8z6AVPp8H2k26ZFoTPMyXRfmtQcx,119.62149
593,593,Okay Bear #2683,Grey,Sling Pack,Defeated,Barrel Sunglasses,Polar,Sweatband,Gah,12.61,2.2,5.26,2.11,6.41,3.52,4.26,594,2.95948578933706e-10,2.11,5.195714285714286,7,85DrVCXXCHgUA99HwHUNhK5g2xVZwnbRv2ic17LccBDt,119.61667
607,607,Okay Bear #1272,Purple,Suede Jacket,Annoyed,Aviator Sunglasses,Red Panda,Runner Cap,Raspberry,11.87,2.02,13.089999999999998,4.09,2.76,3.39,2.53,608,3.0387456097620485e-10,2.02,5.678571428571428,7,7qMVALVYkzkxnWBCvtGBxCTy4FAUXRvNU9f181NCUyWd,119.59801
5894,5894,Okay Bear #513,Cream,,Golden Glow,,Wood,Classic Cap,Pouting,13.26,19.65,1.99,66.72,2.01,3.37,12.31,5895,2.884690365433312e-08,1.99,17.044285714285714,5,DvZyoayrzLDLSrhQ2EE2xLswYUhKDkWEK2cX6z7fewZR,119.563896
354,354,Okay Bear #3406,Cream,Okay Hoodie,Sad,Round Glasses,Sand,Army Hat,Wheat,13.26,1.5,5.07,3.74,8.18,2.39,2.17,355,1.6000195277734668e-10,1.5,5.187142857142859,7,FAjKrNgc4NZYPbxTZbcP1WQZ4ZnnDjXCkphh8ng2qkLF,119.544815
846,846,Okay Bear #7891,Green,Summer Shirt,Okay,Clear Glasses,Pink,Backwards Skate Cap,Haa,12.6,2.29,20.23,4.07,4.26,2.12,2.2,847,4.720244124305001e-10,2.12,6.824285714285715,7,FiFXoubpQ999eFgFd6Fbtyug1JGGBh3tQPhFVqs5dGxb,119.5343
1467,1467,Okay Bear #9986,Purple,Hooded Cardigan,Wide Eyed,,Wood,Skate Cap,Hmm,11.87,1.61,2.6,66.72,2.01,5.510000000000002,3.02,1468,1.1088187975290142e-09,1.61,13.334285714285715,6,DeVfem7CuwNwuvNyrz8FJEjA4VteQGHJX6u2ak2a71ps,119.516884
4930,4930,Okay Bear #9189,Yellow,,Golden Glow,Wayfarer Sunglasses,Tan,Sticky Note,Okay,12.22,19.65,1.99,4.38,14.13,2.3,23.05,4931,1.5678404866388407e-08,1.99,11.102857142857143,6,E7hPcVtoBGMBVdfGpGga7pXdRiYdv4FigMZP8LmRN1jo,119.50187
913,913,Okay Bear #4343,Yellow,Golf Polo,Closed,,Panda,Flat Cap,Wheat,12.22,2.0,3.1,66.72,3.9,1.22,2.17,914,5.21918996796288e-10,1.22,13.047142857142855,6,Af7jSyXXBzdRvfHR5Qm6dXMYuNuiNYST9pc8YA9po4Aj,119.458435
650,650,Okay Bear #754,Purple,Cord Tracksuit,Tired,Pixel Glasses,Panda,Pencil,Wry,11.87,1.39,4.54,3.2,3.9,3.790000000000001,9.22,651,3.2666762002412934e-10,1.39,5.4157142857142855,7,C7k3EnqPH4W34a8V6ymo9asL1ArfXmNQ7g4As4bzBsx9,119.45196
4690,4690,Okay Bear #5867,Green,Striped Tee,Golden Glow,,Albino,Baker Boy Hat,Okay,12.6,3.5700000000000003,1.99,66.72,4.5600000000000005,2.14,23.05,4691,1.3433754922061485e-08,1.99,16.375714285714285,6,3pbTqDAWNXkxekbijr9Mcof78ygJXvtqmhh3EiRgwPz7,119.43052
385,385,Okay Bear #5742,Yellow,Okay Hoodie,Interested,Barrel Sunglasses,Andean,Bandana,Gah,12.22,1.5,6.710000000000001,2.11,3.77,4.24,4.26,386,1.7671940731892306e-10,1.5,4.972857142857143,7,HfatjN1ULejzj15BhFdXrvQ3NnyvQvTSzREhGzhwtapF,119.42756
837,837,Okay Bear #5324,Blue,,Tired,Flying Goggles,Panda,Earrings,Haa,12.52,19.65,4.54,1.83,3.9,2.66,2.2,838,4.664904428712529e-10,1.83,6.757142857142857,6,FUT1SA8v4YseSgtekiCZwgAQV73Ev3Y9G8xewzUfFjTk,119.41232
176,176,Okay Bear #891,Yellow,Pullover Windbreaker,Interested,Wayfarer Sunglasses,Albino,Army Hat,Drool,12.22,2.04,6.710000000000001,4.38,4.5600000000000005,2.39,0.97,177,7.745197237498959e-11,0.97,4.752857142857144,7,8QC3sTiFtwTw88LXgmnje4PS5nupFWC5M3FET5nfVNw5,119.40589
5411,5411,Okay Bear #9892,White,,Okay,,Andean,Sweatband,Yoyo,12.65,19.65,20.23,66.72,3.77,3.52,0.48,5412,2.1371266090489832e-08,0.48,18.14571428571429,5,6CZxm62UsWKLNcbXjXamUTst61UEt3xdg7LNxgXtbHt5,119.3488
