,name,Background,Clothes,Eyes,Eyewear,Fur,Hat,Mouth,Background_rarity,Clothes_rarity,Eyes_rarity,Eyewear_rarity,Fur_rarity,Hat_rarity,Mouth_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n
1049,Okay Bear #3301,Yellow,Hoodie with Headphones,Sad,Aviator Sunglasses,Lofi,Pom Pom Beanie,Okay,12.22,2.27,5.07,4.09,1.96,2.56,23.05,1050,6.652659517055786e-10,1.96,7.317142857142857,7
1050,Okay Bear #1203,Purple,Hawaiian Shirt,Tired,,Wood,Ear Tag,Oou,11.87,1.78,4.54,66.72,2.01,1.91,2.71,1051,6.658575481944271e-10,1.78,13.077142857142858,6
1051,Okay Bear #5709,Yellow,Vintage Windbreaker,Spirited,Round Glasses,Panda,Runner Cap,Wry,12.22,1.9300000000000002,6.2,3.74,3.9,3.39,9.22,1052,6.66633344414226e-10,1.9300000000000002,5.8,7
1052,Okay Bear #5334,Purple,Legacy Windbreaker,Disappointed,Wayfarer Sunglasses,Sand,,Honey,11.87,1.15,9.4,4.38,8.18,26.979999999999997,0.54,1053,6.69791346429656e-10,0.54,8.928571428571427,6
1053,Okay Bear #308,Grey,Lumber Jacket,Wide Eyed,,Grizzly,Chullo,Haa,12.61,1.24,2.6,66.72,14.399999999999999,0.7799999999999999,2.1999999999999997,1054,6.702640601260029e-10,0.7799999999999999,14.364285714285712,6
1054,Okay Bear #8858,Cream,Leather Jacket,Wide Eyed,Pixel Glasses,Polar,,Oou,13.26,1.3,2.6,3.2,6.41,26.979999999999997,2.71,1055,6.721705309832448e-10,1.3,8.065714285714284,6
1055,Okay Bear #9225,Warm Grey,Lumber Jacket,Disappointed,Circle Sunglasses,Sand,Pom Pom Beanie,Clean Smile,12.27,1.24,9.4,2.82,8.18,2.56,7.969999999999999,1056,6.731235733637282e-10,1.24,6.348571428571428,7
1056,Okay Bear #5708,Grey,Coat with Headphones,Annoyed,Round Glasses,Tan,Runner Cap,Raspberry,12.61,0.8999999999999999,13.089999999999998,3.74,14.13,3.39,2.53,1057,6.733350562475677e-10,0.8999999999999999,7.1985714285714275,7
1057,Okay Bear #3652,White,Striped Tee,Spirited,Barrel Sunglasses,Sand,Skate Cap,Raspberry,12.65,3.5700000000000003,6.2,2.11,8.18,5.510000000000001,2.53,1058,6.736872220992931e-10,2.11,5.821428571428571,7
1058,Okay Bear #4025,Green,Sleeveless Tee,Happy,Wayfarer Sunglasses,Blueprint,Worn Out Cap,Pouting,12.6,2.86,7.88,4.38,1.58,2.79,12.31,1059,6.749261409884273e-10,1.58,6.3428571428571425,7
1059,Okay Bear #2798,Cream,Wool Overcoat,Disappointed,Aviator Sunglasses,Panda,Sticky Note,Pouting,13.26,1.2,9.4,4.09,3.9,2.3,12.31,1060,6.755016710276641e-10,1.2,6.637142857142857,7
1060,Okay Bear #8621,Purple,Cord Tracksuit,Tired,,Sand,Flat Hat,Gaiter,11.87,1.39,4.54,66.72,8.18,2.9000000000000004,0.5700000000000001,1061,6.757772496118912e-10,0.5700000000000001,13.738571428571431,6
1061,Okay Bear #1704,Green,Black Tee,Disappointed,Clear Glasses,Ginger,Army Hat,Raspberry,12.6,3.83,9.4,4.07,6.0600000000000005,2.39,2.53,1062,6.765230968116114e-10,2.39,5.840000000000001,7
1062,Okay Bear #3345,Warm Grey,,Disappointed,Pixel Glasses,Green,Pencil,Honey,12.27,19.650000000000002,9.4,3.2,4.5600000000000005,3.7900000000000005,0.54,1063,6.768349271898626e-10,0.54,7.63,6
1063,Okay Bear #1851,Yellow,Scarf,Defeated,Clear Glasses,Polar,Classic Cap,Wry,12.22,1.3,5.26,4.07,6.41,3.37,9.22,1064,6.773506673699675e-10,1.3,5.978571428571429,7
1064,Okay Bear #9922,Green,Autumn Sweater,Okay,Round Glasses,Polar,Beret,Wheat,12.6,1.7500000000000002,20.23,3.74,6.41,2.92,2.17,1065,6.776051429616085e-10,1.7500000000000002,7.117142857142857,7
1065,Okay Bear #5503,Green,Lumber Jacket,Interested,,Albino,Pom Pom Beanie,Yawn,12.6,1.24,6.710000000000001,66.72,4.5600000000000005,2.56,0.83,1066,6.777252843096639e-10,0.83,13.602857142857143,6
1066,Okay Bear #1721,Warm Grey,Suede Jacket,Disappointed,Punk Sunglasses,Panda,Okay Beanie,Wry,12.27,2.02,9.4,2.69,3.9,3.01,9.22,1067,6.783254153938735e-10,2.02,6.072857142857144,7
1067,Okay Bear #6894,Cream,Golf Polo,Tired,,Green,Pencil,Earphones,13.26,2.0,4.54,66.72,4.5600000000000005,3.7900000000000005,0.49,1068,6.802766163312538e-10,0.49,13.622857142857145,6
1068,Okay Bear #7468,Grey,Sleeveless Tee,Closed,Pixel Glasses,Albino,Runner Cap,Pouting,12.61,2.86,3.1,3.2,4.5600000000000005,3.39,12.31,1069,6.807934765873611e-10,2.86,6.0042857142857144,7
1069,Okay Bear #7368,Grey,Hooded Cardigan,Okay,Aviator Sunglasses,Black,Classic Cap,Ohh,12.61,1.6099999999999999,20.23,4.09,4.95,3.37,2.4299999999999997,1070,6.809285235174036e-10,1.6099999999999999,7.041428571428571,7
1070,Okay Bear #7440,White,Double Jacket,White Glow,Barrel Sunglasses,Grizzly,Worn Out Beanie,Clean Smile,12.65,2.5100000000000002,3.4099999999999997,2.11,14.399999999999999,2.6,7.969999999999999,1071,6.81703058900635e-10,2.11,6.521428571428571,7
1071,Okay Bear #8574,Grey,Torn Sleeveless Tee,Tired,,Panda,Backwards Flat Cap,Yoyo,12.61,3.15,4.54,66.72,3.9,3.0300000000000002,0.48,1072,6.824738317096626e-10,0.48,13.49,6
1072,Okay Bear #4020,Grey,Puffer Jacket,Spirited,Pixel Glasses,Albino,,Yum,12.61,2.27,6.2,3.2,4.5600000000000005,26.979999999999997,0.98,1073,6.847238815201074e-10,0.98,8.114285714285716,6
1073,Okay Bear #3492,White,Lumber Jacket,Annoyed,Circle Sunglasses,Grizzly,Pencil,Wheat,12.65,1.24,13.089999999999998,2.82,14.399999999999999,3.7900000000000005,2.17,1074,6.857446080273464e-10,1.24,7.1657142857142855,7
1074,Okay Bear #9416,Blue,Loose Overalls,Sarcastic,Flying Goggles,Sand,Black Bucket Hat,Huh,12.520000000000001,2.68,9.65,1.83,8.18,4.12,3.44,1075,6.869521518071242e-10,1.83,6.0600000000000005,7
1075,Okay Bear #7004,White,Okay Tee,Defeated,Pixel Glasses,Grizzly,Backwards Flat Cap,Oou,12.65,2.73,5.26,3.2,14.399999999999999,3.0300000000000002,2.71,1076,6.873268449535487e-10,2.71,6.282857142857142,7
1076,Okay Bear #3094,Yellow,Cord Tracksuit,Annoyed,Flying Goggles,Green,Okay Beanie,Pouting,12.22,1.39,13.089999999999998,1.83,4.5600000000000005,3.01,12.31,1077,6.874896013770119e-10,1.39,6.9157142857142855,7
1077,Okay Bear #4820,White,Leather Jacket,Sarcastic,,Sun,Pom Pom Beanie,Yum,12.65,1.3,9.65,66.72,2.59,2.56,0.98,1078,6.879914385856513e-10,0.98,13.778571428571428,6
1078,Okay Bear #692,Blue,Tech Jacket,Sarcastic,,Black,Beret,Gaiter,12.520000000000001,1.04,9.65,66.72,4.95,2.92,0.5700000000000001,1079,6.906912038884917e-10,0.5700000000000001,14.052857142857144,6
1079,Okay Bear #3048,Yellow,Sleeveless Tee,Annoyed,Round Glasses,Sand,Backwards Skate Cap,Beaming Smile,12.22,2.86,13.089999999999998,3.74,8.18,2.12,2.33,1080,6.913430056314798e-10,2.12,6.362857142857143,7
1080,Okay Bear #8735,Yellow,Puffer Jacket,Okay,,Sun,Book,Yawn,12.22,2.27,20.23,66.72,2.59,0.86,0.83,1081,6.921899528334843e-10,0.83,15.102857142857143,6
1081,Okay Bear #1127,Grey,Lumber Jacket,Tired,,Polar,Okay Beanie,Asparagus,12.61,1.24,4.54,66.72,6.41,3.01,0.76,1082,6.945232352380288e-10,0.76,13.612857142857143,6
1082,Okay Bear #6926,Yellow,Loose Overalls,Okay,Pixel Glasses,Green,Chullo,Wry,12.22,2.68,20.23,3.2,4.5600000000000005,0.7799999999999999,9.22,1083,6.95251968913023e-10,0.7799999999999999,7.555714285714286,7
1083,Okay Bear #1563,White,Utility Vest,Robot,,Sand,Worn Out Cap,Sneer,12.65,1.97,0.8699999999999999,66.72,8.18,2.79,2.11,1084,6.965816090667684e-10,0.8699999999999999,13.612857142857143,6
1084,Okay Bear #8043,White,Vintage Shirt,Tired,Round Glasses,Andean,,Toothpick,12.65,2.75,4.54,3.74,3.7699999999999996,26.979999999999997,1.16,1085,6.969344927043355e-10,1.16,7.941428571428571,6
1085,Okay Bear #6921,Green,Olive Windbreaker,Spirited,,Red Panda,Chullo,Ohh,12.6,2.56,6.2,66.72,2.76,0.7799999999999999,2.4299999999999997,1086,6.980205295868314e-10,0.7799999999999999,13.435714285714285,6
1086,Okay Bear #6251,White,Striped Tee,Happy,Aviator Sunglasses,Tan,Okay Beanie,Ahh,12.65,3.5700000000000003,7.88,4.09,14.13,3.01,1.13,1087,6.995123203862026e-10,1.13,6.637142857142857,7
1087,Okay Bear #7980,Green,Pullover Windbreaker,Sad,Mechanical Goggles,Grizzly,,Oou,12.6,2.04,5.07,0.51,14.399999999999999,26.979999999999997,2.71,1088,6.997655794231066e-10,0.51,9.187142857142856,6
1088,Okay Bear #6534,Blue,Summer Shirt,Happy,Round Glasses,Dark Brown,Okay Beanie,Wheat,12.520000000000001,2.29,7.88,3.74,12.68,3.01,2.17,1089,6.998147854850236e-10,2.17,6.327142857142857,7
1089,Okay Bear #3487,Green,Striped Tee,Spirited,,Sun,Mumford Hat,Yawn,12.6,3.5700000000000003,6.2,66.72,2.59,1.7500000000000002,0.83,1090,7.00007017027248e-10,0.83,13.465714285714286,6
1090,Okay Bear #6149,Cream,Vintage Windbreaker,Okay,Round Glasses,Dark Brown,Sweatband,Pencil,13.26,1.9300000000000002,20.23,3.74,12.68,3.52,0.8099999999999999,1091,7.000277461366565e-10,0.8099999999999999,8.024285714285714,7
1091,Okay Bear #2377,Blue,Okay Hoodie,White Glow,,Polar,Classic Cap,Asparagus,12.520000000000001,1.5,3.4099999999999997,66.72,6.41,3.37,0.76,1092,7.014674561990517e-10,0.76,13.527142857142858,6
1092,Okay Bear #1485,Grey,Suede Jacket,Robot,,Wood,Pom Pom Beanie,Wry,12.61,2.02,0.8699999999999999,66.72,2.01,2.56,9.22,1093,7.014693343924372e-10,0.8699999999999999,13.715714285714286,6
1093,Okay Bear #5130,Grey,Black Tee,Defeated,Pixel Glasses,Polar,Pom Pom Beanie,Proud,12.61,3.83,5.26,3.2,6.41,2.56,5.28,1094,7.043386172131246e-10,2.56,5.5928571428571425,7
1094,Okay Bear #1832,Cream,Insulated Jacket,Interested,Pixel Glasses,Lofi,,Hmm,13.26,1.55,6.710000000000001,3.2,1.96,26.979999999999997,3.02,1095,7.047785541622427e-10,1.55,8.097142857142856,6
1095,Okay Bear #173,Warm Grey,,Wide Eyed,Holographic,Grizzly,Surf Bucket Hat,Huh,12.27,19.650000000000002,2.6,1.71,14.399999999999999,1.3299999999999998,3.44,1096,7.062348612219264e-10,1.3299999999999998,7.9142857142857155,6
1096,Okay Bear #4243,Warm Grey,Scarf,Happy,,Pink,Rabbit Fur Hat,Beaming Smile,12.27,1.3,7.88,66.72,4.26,0.8500000000000001,2.33,1097,7.075458955746605e-10,0.8500000000000001,13.658571428571426,6
1097,Okay Bear #4245,Purple,Scarf,Spirited,,Red Panda,Surf Bucket Hat,Hmm,11.87,1.3,6.2,66.72,2.76,1.3299999999999998,3.02,1098,7.076352593597415e-10,1.3,13.314285714285715,6
1098,Okay Bear #2839,Yellow,,Tired,VR Headset,Sun,,Bubble Gum,12.22,19.650000000000002,4.54,0.9199999999999999,2.59,26.979999999999997,1.01,1099,7.078488389064935e-10,0.9199999999999999,9.70142857142857,5
1099,Okay Bear #365,Cream,Woven Sweater,Happy,Clear Glasses,Sand,Sticky Note,Gah,13.26,2.08,7.88,4.07,8.18,2.3,4.26,1100,7.089542731768272e-10,2.08,6.0042857142857144,7
1100,Okay Bear #1009,Green,Black Tee,Okay,VR Headset,Sun,,Ahh,12.6,3.83,20.23,0.9199999999999999,2.59,26.979999999999997,1.13,1101,7.092072753071854e-10,0.9199999999999999,9.754285714285713,6
1101,Okay Bear #6244,Yellow,Golf Polo,Wide Eyed,Punk Sunglasses,Dark Brown,Earrings,Pouting,12.22,2.0,2.6,2.69,12.68,2.6599999999999997,12.31,1102,7.097179225817408e-10,2.0,6.7371428571428575,7
1102,Okay Bear #1902,Blue,Coat with Headphones,Interested,Round Glasses,Black,Black Bucket Hat,Pouting,12.520000000000001,0.8999999999999999,6.710000000000001,3.74,4.95,4.12,12.31,1103,7.099069510405545e-10,0.8999999999999999,6.464285714285715,7
1103,Okay Bear #8023,White,Hooded Cardigan,Golden Glow,,Blueprint,Skate Cap,Hmm,12.65,1.6099999999999999,1.9900000000000002,66.72,1.58,5.510000000000001,3.02,1104,7.109534144997052e-10,1.58,13.297142857142857,6
1104,Okay Bear #3489,Yellow,Polo with Headphones,Closed,Punk Sunglasses,Tan,Sweatband,Pouting,12.22,1.1400000000000001,3.1,2.69,14.13,3.52,12.31,1105,7.112674090019647e-10,1.1400000000000001,7.015714285714287,7
1105,Okay Bear #5467,Blue,Cord Tracksuit,Annoyed,Barrel Sunglasses,Green,Sweatband,Wry,12.520000000000001,1.39,13.089999999999998,2.11,4.5600000000000005,3.52,9.22,1106,7.113439762026438e-10,1.39,6.630000000000001,7
1106,Okay Bear #5518,Warm Grey,Lumber Jacket,Spirited,,Grizzly,Chullo,Bubble Gum,12.27,1.24,6.2,66.72,14.399999999999999,0.7799999999999999,1.01,1107,7.13990516893655e-10,0.7799999999999999,14.659999999999998,6
1107,Okay Bear #4955,Grey,Okay Hoodie,Spirited,Holographic,Albino,Runner Cap,Okay,12.61,1.5,6.2,1.71,4.5600000000000005,3.39,23.05,1108,7.145450518269958e-10,1.5,7.574285714285715,7
1108,Okay Bear #8350,Cream,Faded Denim Jacket,Okay,Circle Sunglasses,Sun,Skate Cap,Huh,13.26,1.9300000000000002,20.23,2.82,2.59,5.510000000000001,3.44,1109,7.167300770023457e-10,1.9300000000000002,7.11142857142857,7
1109,Okay Bear #2887,Warm Grey,Black Tee,Wide Eyed,,Black,Baker Boy Hat,Yawn,12.27,3.83,2.6,66.72,4.95,2.1399999999999997,0.83,1110,7.167534416013628e-10,0.83,13.334285714285713,6
1110,Okay Bear #4177,Yellow,Olive Windbreaker,White Glow,Round Glasses,Dark Brown,Black Bucket Hat,Huh,12.22,2.56,3.4099999999999997,3.74,12.68,4.12,3.44,1111,7.169882930091264e-10,2.56,6.024285714285715,7
1111,Okay Bear #7801,Yellow,Aviator Jacket,Okay,,Lofi,Book,Huh,12.22,0.75,20.23,66.72,1.96,0.86,3.44,1112,7.172942589650074e-10,0.75,15.168571428571429,6
1112,Okay Bear #1758,White,Faded Denim Jacket,Defeated,Clear Glasses,Green,Pencil,Clean Smile,12.65,1.9300000000000002,5.26,4.07,4.5600000000000005,3.7900000000000005,7.969999999999999,1113,7.199301502260922e-10,1.9300000000000002,5.747142857142856,7
1113,Okay Bear #4159,Green,Fur Coat,Annoyed,Aviator Sunglasses,Sand,Worn Out Cap,Pouting,12.6,0.38,13.089999999999998,4.09,8.18,2.79,12.31,1114,7.201660700985402e-10,0.38,7.634285714285714,7
1114,Okay Bear #831,Blue,Scarf,Annoyed,,Green,Rubik's Cube,Oou,12.520000000000001,1.3,13.089999999999998,66.72,4.5600000000000005,0.41000000000000003,2.71,1115,7.202136623545543e-10,0.41000000000000003,14.47285714285714,6
1115,Okay Bear #3722,Yellow,Sling Pack,Closed,,Panda,Chullo,Gah,12.22,2.1999999999999997,3.1,66.72,3.9,0.7799999999999999,4.26,1116,7.205770517527295e-10,0.7799999999999999,13.31142857142857,6
1116,Okay Bear #2791,Green,Sling Pack,Spirited,,Blueprint,Sweatband,Ahh,12.6,2.1999999999999997,6.2,66.72,1.58,3.52,1.13,1117,7.206412984049663e-10,1.13,13.421428571428569,6
1117,Okay Bear #1971,Warm Grey,Legacy Windbreaker,Happy,Barrel Sunglasses,Tan,Black Bucket Hat,Proud,12.27,1.15,7.88,2.11,14.13,4.12,5.28,1118,7.211479549759501e-10,1.15,6.7057142857142855,7
1118,Okay Bear #7318,Green,Cord Tracksuit,White Glow,Clear Glasses,Dark Brown,Skate Cap,Gah,12.6,1.39,3.4099999999999997,4.07,12.68,5.510000000000001,4.26,1119,7.234601016997901e-10,1.39,6.274285714285715,7
1119,Okay Bear #1179,White,Hooded Cardigan,Annoyed,Round Glasses,Sand,Sweatband,Raspberry,12.65,1.6099999999999999,13.089999999999998,3.74,8.18,3.52,2.53,1120,7.263469857810518e-10,1.6099999999999999,6.474285714285713,7
1120,Okay Bear #6221,Cream,Faded Denim Jacket,Sad,Round Glasses,Sand,Sticky Note,Clean Smile,13.26,1.9300000000000002,5.07,3.74,8.18,2.3,7.969999999999999,1121,7.276455131118235e-10,1.9300000000000002,6.064285714285715,7
1121,Okay Bear #9844,Warm Grey,Coat with Headphones,Golden Glow,Clear Glasses,Dark Brown,Worn Out Cap,Okay,12.27,0.8999999999999999,1.9900000000000002,4.07,12.68,2.79,23.05,1122,7.293381722419775e-10,0.8999999999999999,8.25,7
1122,Okay Bear #8137,Yellow,Vintage Shirt,Robot,,Green,Sweatband,Beaming Smile,12.22,2.75,0.8699999999999999,66.72,4.5600000000000005,3.52,2.33,1123,7.295290951571253e-10,0.8699999999999999,13.281428571428572,6
1123,Okay Bear #8286,Grey,,Defeated,Punk Sunglasses,Ginger,Bandana,Pencil,12.61,19.650000000000002,5.26,2.69,6.0600000000000005,4.24,0.8099999999999999,1124,7.296912946617783e-10,0.8099999999999999,7.331428571428572,6
1124,Okay Bear #9277,Warm Grey,,Closed,Mechanical Goggles,Lofi,Bandana,Okay,12.27,19.650000000000002,3.1,0.51,1.96,4.24,23.05,1125,7.301832143441977e-10,0.51,9.254285714285716,6
1125,Okay Bear #4264,Yellow,Scarf,Interested,Clear Glasses,Tan,Skate Cap,Wheat,12.22,1.3,6.710000000000001,4.07,14.13,5.510000000000001,2.17,1126,7.329679452826552e-10,1.3,6.587142857142857,7
1126,Okay Bear #6210,Yellow,Leather Jacket,Happy,Wayfarer Sunglasses,Black,Runner Cap,Clean Smile,12.22,1.3,7.88,4.38,4.95,3.39,7.969999999999999,1127,7.332939548143463e-10,1.3,6.0128571428571425,7
1127,Okay Bear #1216,White,Denim Jacket,Sarcastic,Aviator Sunglasses,Sand,Baker Boy Hat,Wry,12.65,0.91,9.65,4.09,8.18,2.1399999999999997,9.22,1128,7.332980620644278e-10,0.91,6.691428571428571,7
1128,Okay Bear #9154,Cream,Double Jacket,Sarcastic,Flying Goggles,Tan,Pencil,Beaming Smile,13.26,2.5100000000000002,9.65,1.83,14.13,3.7900000000000005,2.33,1129,7.3338655092315e-10,1.83,6.785714285714286,7
1129,Okay Bear #8529,Cream,Suede Jacket,Interested,Clear Glasses,Sand,Surf Bucket Hat,Wry,13.26,2.02,6.710000000000001,4.07,8.18,1.3299999999999998,9.22,1130,7.337492808485632e-10,1.3299999999999998,6.398571428571429,7
1130,Okay Bear #8301,Warm Grey,Lumber Jacket,Okay,Round Glasses,Red Panda,Flat Hat,Clean Smile,12.27,1.24,20.23,3.74,2.76,2.9000000000000004,7.969999999999999,1131,7.343432956218301e-10,1.24,7.301428571428572,7
1131,Okay Bear #26,Blue,Sling Pack,Wide Eyed,,Red Panda,Army Hat,Beaming Smile,12.520000000000001,2.1999999999999997,2.6,66.72,2.76,2.39,2.33,1132,7.343773933640602e-10,2.1999999999999997,13.074285714285713,6
1132,Okay Bear #795,Grey,Legacy Windbreaker,Annoyed,Wayfarer Sunglasses,Red Panda,Worn Out Beanie,Pouting,12.61,1.15,13.089999999999998,4.38,2.76,2.6,12.31,1133,7.344583403510151e-10,1.15,6.985714285714286,7
1133,Okay Bear #8942,Grey,Hawaiian Shirt,Sarcastic,Pixel Glasses,Green,Beret,Clean Smile,12.61,1.78,9.65,3.2,4.5600000000000005,2.92,7.969999999999999,1134,7.355604944327578e-10,1.78,6.098571428571428,7
1134,Okay Bear #5052,Green,Torn Sleeveless Tee,Closed,,Lofi,Backwards Flat Cap,Ugh,12.6,3.15,3.1,66.72,1.96,3.0300000000000002,1.51,1135,7.361638335866304e-10,1.51,13.152857142857142,6
1135,Okay Bear #6963,Green,Travel Coat,Okay,Barrel Sunglasses,Red Panda,Baker Boy Hat,Okay,12.6,1.01,20.23,2.11,2.76,2.1399999999999997,23.05,1136,7.395440411577406e-10,1.01,9.12857142857143,7
1136,Okay Bear #698,Warm Grey,Okay Hoodie,Disappointed,Flying Goggles,Panda,Worn Out Beanie,Okay,12.27,1.5,9.4,1.83,3.9,2.6,23.05,1137,7.399862497286999e-10,1.5,7.792857142857143,7
1137,Okay Bear #8982,Warm Grey,Puffer Jacket,Defeated,Aviator Sunglasses,Pink,Skate Cap,Proud,12.27,2.27,5.26,4.09,4.26,5.510000000000001,5.28,1138,7.426335963208397e-10,2.27,5.562857142857142,7
1138,Okay Bear #1022,Green,Black Tee,Annoyed,Barrel Sunglasses,Polar,Black Bucket Hat,Sneer,12.6,3.83,13.089999999999998,2.11,6.41,4.12,2.11,1139,7.42726845880539e-10,2.11,6.324285714285714,7
1139,Okay Bear #636,Blue,Lumber Jacket,Golden Glow,Round Glasses,Sun,,Wry,12.520000000000001,1.24,1.9900000000000002,3.74,2.59,26.979999999999997,9.22,1140,7.444290684608446e-10,1.24,8.325714285714287,6
1140,Okay Bear #9869,Blue,Fur Coat,Interested,Wayfarer Sunglasses,Grizzly,Okay Beanie,Pouting,12.520000000000001,0.38,6.710000000000001,4.38,14.399999999999999,3.01,12.31,1141,7.460562909042269e-10,0.38,7.672857142857144,7
1141,Okay Bear #245,Purple,Golf Polo,Sarcastic,Round Glasses,Wood,Sweatband,Pouting,11.87,2.0,9.65,3.74,2.01,3.52,12.31,1142,7.462363565414209e-10,2.0,6.442857142857143,7
1142,Okay Bear #1605,Grey,Overalls,Spirited,Aviator Sunglasses,Tan,Worn Out Cap,Gah,12.61,1.39,6.2,4.09,14.13,2.79,4.26,1143,7.464502168799472e-10,1.39,6.4957142857142856,7
1143,Okay Bear #6204,Yellow,Vintage Windbreaker,Interested,Wayfarer Sunglasses,Sand,,Earphones,12.22,1.9300000000000002,6.710000000000001,4.38,8.18,26.979999999999997,0.49,1144,7.495773838872408e-10,0.49,8.698571428571428,6
1144,Okay Bear #9718,Purple,Insulated Jacket,Happy,Punk Sunglasses,Panda,Baker Boy Hat,Okay,11.87,1.55,7.88,2.69,3.9,2.1399999999999997,23.05,1145,7.502572912198025e-10,1.55,7.582857142857143,7
1145,Okay Bear #1733,Green,,Okay,Mechanical Goggles,Lofi,Sweatband,Gah,12.6,19.650000000000002,20.23,0.51,1.96,3.52,4.26,1146,7.507710066323175e-10,0.51,8.961428571428572,6
1146,Okay Bear #7224,Green,Scarf,Happy,Clear Glasses,Ginger,Pom Pom Beanie,Wry,12.6,1.3,7.88,4.07,6.0600000000000005,2.56,9.22,1147,7.514118412274074e-10,1.3,6.241428571428571,7
1147,Okay Bear #4481,White,Okay Hoodie,Closed,,Green,Ear Tag,Haa,12.65,1.5,3.1,66.72,4.5600000000000005,1.91,2.1999999999999997,1148,7.520044434566398e-10,1.5,13.234285714285715,6
1148,Okay Bear #3949,Purple,Legacy Windbreaker,Closed,,Grizzly,Ear Tag,Drool,11.87,1.15,3.1,66.72,14.399999999999999,1.91,0.97,1149,7.532408839943809e-10,0.97,14.302857142857144,6
1149,Okay Bear #9407,Cream,Vintage Shirt,Golden Glow,,Black,Pencil,Yawn,13.26,2.75,1.9900000000000002,66.72,4.95,3.7900000000000005,0.83,1150,7.53889740622247e-10,0.83,13.47,6
1150,Okay Bear #6748,Purple,Okay Tee,Defeated,Holographic,Dark Brown,Pom Pom Beanie,Clean Smile,11.87,2.73,5.26,1.71,12.68,2.56,7.969999999999999,1151,7.540719059159711e-10,1.71,6.397142857142856,7
1151,Okay Bear #7970,Purple,Insulated Jacket,Annoyed,Wayfarer Sunglasses,Tan,Sticky Note,Haa,11.87,1.55,13.089999999999998,4.38,14.13,2.3,2.1999999999999997,1152,7.542040372783686e-10,1.55,7.074285714285714,7
1152,Okay Bear #4857,Green,Suede Jacket,Okay,Round Glasses,Ginger,Earrings,Ohh,12.6,2.02,20.23,3.74,6.0600000000000005,2.6599999999999997,2.4299999999999997,1153,7.543101192710974e-10,2.02,7.105714285714286,7
1153,Okay Bear #5535,Purple,Torn Sleeveless Tee,White Glow,,Panda,Okay Beanie,Asparagus,11.87,3.15,3.4099999999999997,66.72,3.9,3.01,0.76,1154,7.589556253117238e-10,0.76,13.260000000000002,6
1154,Okay Bear #5394,Purple,Leather Jacket,Disappointed,Holographic,Green,Beret,Okay,11.87,1.3,9.4,1.71,4.5600000000000005,2.92,23.05,1155,7.612663953065185e-10,1.3,7.829999999999999,7
1155,Okay Bear #5043,Yellow,Torn Sleeveless Tee,Spirited,,Red Panda,Baker Boy Hat,Pencil,12.22,3.15,6.2,66.72,2.76,2.1399999999999997,0.8099999999999999,1156,7.617936725894477e-10,0.8099999999999999,13.428571428571429,6
1156,Okay Bear #9372,Grey,Summer Shirt,Disappointed,Punk Sunglasses,Polar,Visor,Proud,12.61,2.29,9.4,2.69,6.41,3.09,5.28,1157,7.636267510209074e-10,2.29,5.967142857142856,7
1157,Okay Bear #2869,White,Legacy Windbreaker,Wide Eyed,Aviator Sunglasses,Grizzly,Worn Out Cap,Pouting,12.65,1.15,2.6,4.09,14.399999999999999,2.79,12.31,1158,7.650851457403439e-10,1.15,7.1414285714285715,7
1158,Okay Bear #127,Cream,Silk Robe,Disappointed,Aviator Sunglasses,Dark Brown,Baker Boy Hat,Wry,13.26,0.6,9.4,4.09,12.68,2.1399999999999997,9.22,1159,7.652615340268454e-10,0.6,7.341428571428572,7
1159,Okay Bear #5168,Grey,Faded Denim Jacket,Spirited,Pixel Glasses,Ginger,,Drool,12.61,1.9300000000000002,6.2,3.2,6.0600000000000005,26.979999999999997,0.97,1160,7.657735597527474e-10,0.97,8.278571428571428,6
1160,Okay Bear #8246,White,Summer Shirt,Tired,Aviator Sunglasses,Tan,Ear Tag,Proud,12.65,2.29,4.54,4.09,14.13,1.91,5.28,1161,7.665043437837736e-10,1.91,6.412857142857143,7
1161,Okay Bear #5448,Grey,Double Jacket,Okay,Pixel Glasses,Sand,Backwards Flat Cap,Ugh,12.61,2.5100000000000002,20.23,3.2,8.18,3.0300000000000002,1.51,1162,7.668449265247157e-10,1.51,7.324285714285715,7
1162,Okay Bear #8154,Green,Hoodie with Headphones,Sad,,Blueprint,Head Cam,Huh,12.6,2.27,5.07,66.72,1.58,1.46,3.44,1163,7.677658387996048e-10,1.46,13.305714285714284,6
1163,Okay Bear #4151,Blue,Lumber Jacket,Okay,Round Glasses,Black,,Earphones,12.520000000000001,1.24,20.23,3.74,4.95,26.979999999999997,0.49,1164,7.686643216440768e-10,0.49,10.02142857142857,6
1164,Okay Bear #5436,Green,Insulated Jacket,Robot,,Polar,Book,Pouting,12.6,1.55,0.8699999999999999,66.72,6.41,0.86,12.31,1165,7.692935075561637e-10,0.86,14.474285714285713,6
1165,Okay Bear #6284,Warm Grey,Torn Tee,Disappointed,Aviator Sunglasses,Red Panda,,Sneer,12.27,1.04,9.4,4.09,2.76,26.979999999999997,2.11,1166,7.708369890166582e-10,1.04,8.378571428571428,6
1166,Okay Bear #6452,Warm Grey,Insulated Jacket,Closed,,Pink,Backwards Skate Cap,Wheat,12.27,1.55,3.1,66.72,4.26,2.12,2.17,1167,7.709020245863597e-10,1.55,13.17,6
