name,Background,Clothes,Eyes,Eyewear,Fur,Hat,Mouth,Background_rarity,Fur_rarity,Mouth_rarity,Eyes_rarity,Clothes_rarity,Eyewear_rarity,Hat_rarity
Okay Bear #3750,Blue,,Okay,,Albino,,Okay,0.1252,0.0456,0.2305,0.2023,0.1965,0.6672,0.2698
Okay Bear #3751,Purple,Sleeveless Tee,Sarcastic,,Dark Brown,Rubik's Cube,Pouting,0.1187,0.1268,0.1231,0.0965,0.0286,0.6672,0.0041
Okay Bear #3752,Warm Grey,,Annoyed,,Albino,Worn Out Cap,Gah,0.1227,0.0456,0.0426,0.1309,0.1965,0.6672,0.0279
Okay Bear #3753,Blue,Double Jacket,White Glow,,Dark Brown,Pencil,Pouting,0.1252,0.1268,0.1231,0.0341,0.0251,0.6672,0.0379
Okay Bear #3754,Green,,Defeated,,Tan,,Oou,0.126,0.1413,0.0271,0.0526,0.1965,0.6672,0.2698
Okay Bear #3755,White,Coat with Headphones,Okay,,Pink,Worn Out Beanie,Okay,0.1265,0.0426,0.2305,0.2023,0.009,0.6672,0.026
Okay Bear #3756,Grey,Black Suit,Interested,Circle Sunglasses,Dark Brown,Sweatband,Pencil,0.1261,0.1268,0.0081,0.0671,0.0037,0.0282,0.0352
Okay Bear #3757,Warm Grey,Sling Pack,Sarcastic,Round Glasses,Panda,Head Cam,Haa,0.1227,0.039,0.022,0.0965,0.022,0.0374,0.0146
Okay Bear #3758,Blue,Hoodie with Headphones,Happy,Flying Goggles,Tan,,Okay,0.1252,0.1413,0.2305,0.0788,0.0227,0.0183,0.2698
Okay Bear #3759,Warm Grey,Striped Tee,White Glow,,Dark Brown,Earrings,Pouting,0.1227,0.1268,0.1231,0.0341,0.0357,0.6672,0.0266
Okay Bear #376,Cream,Olive Windbreaker,White Glow,Pixel Glasses,Grizzly,Bandana,Okay,0.1326,0.144,0.2305,0.0341,0.0256,0.032,0.0424
Okay Bear #3760,Purple,Hooded Cardigan,Okay,,Sand,,Clean Smile,0.1187,0.0818,0.0797,0.2023,0.0161,0.6672,0.2698
Okay Bear #3761,Yellow,Camel Coat,Disappointed,,Sun,Pom Pom Beanie,Okay,0.1222,0.0259,0.2305,0.094,0.0116,0.6672,0.0256
Okay Bear #3762,Green,Faded Denim Jacket,Robot,,Tan,Flat Hat,Yoyo,0.126,0.1413,0.0048,0.0087,0.0193,0.6672,0.029
Okay Bear #3763,Blue,Black Tee,Sarcastic,,Ginger,Pom Pom Beanie,Pouting,0.1252,0.0606,0.1231,0.0965,0.0383,0.6672,0.0256
Okay Bear #3764,Cream,Torn Sleeveless Tee,White Glow,,Andean,Flat Hat,Pouting,0.1326,0.0377,0.1231,0.0341,0.0315,0.6672,0.029
Okay Bear #3765,Grey,Formal Vest,Sarcastic,,Panda,Okay Beanie,Clean Smile,0.1261,0.039,0.0797,0.0965,0.0157,0.6672,0.0301
Okay Bear #3766,Warm Grey,Okay Hoodie,Defeated,Barrel Sunglasses,Tan,Pencil,Toothpick,0.1227,0.1413,0.0116,0.0526,0.015,0.0211,0.0379
Okay Bear #3767,Yellow,Summer Shirt,Sarcastic,,Pink,Skate Cap,Wry,0.1222,0.0426,0.0922,0.0965,0.0229,0.6672,0.0551
Okay Bear #3768,Grey,,Spirited,,Blueprint,Pencil,Okay,0.1261,0.0158,0.2305,0.062,0.1965,0.6672,0.0379
Okay Bear #3769,Purple,Summer Shirt,Okay,Pixel Glasses,Dark Brown,Skate Cap,Okay,0.1187,0.1268,0.2305,0.2023,0.0229,0.032,0.0551
Okay Bear #377,White,Black Tee,Happy,,Andean,Army Hat,Ugh,0.1265,0.0377,0.0151,0.0788,0.0383,0.6672,0.0239
Okay Bear #3770,Purple,,Tired,,Red Panda,Sweatband,Pouting,0.1187,0.0276,0.1231,0.0454,0.1965,0.6672,0.0352
Okay Bear #3771,Yellow,Summer Shirt,Disappointed,Wayfarer Sunglasses,Green,Bandana,Raspberry,0.1222,0.0456,0.0253,0.094,0.0229,0.0438,0.0424
Okay Bear #3772,Green,Cord Tracksuit,Annoyed,,Dark Brown,Earrings,Okay,0.126,0.1268,0.2305,0.1309,0.0139,0.6672,0.0266
Okay Bear #3773,Purple,Okay Tee,Okay,,Grizzly,,Proud,0.1187,0.144,0.0528,0.2023,0.0273,0.6672,0.2698
Okay Bear #3774,Warm Grey,Black Tee,Sad,,Pink,Pencil,Sneer,0.1227,0.0426,0.0211,0.0507,0.0383,0.6672,0.0379
Okay Bear #3775,Grey,Denim Jacket,Okay,Punk Sunglasses,Ginger,Black Bucket Hat,Grimace,0.1261,0.0606,0.0099,0.2023,0.0091,0.0269,0.0412
Okay Bear #3776,Warm Grey,Faded Denim Jacket,Annoyed,Aviator Sunglasses,Andean,Worn Out Cap,Huh,0.1227,0.0377,0.0344,0.1309,0.0193,0.0409,0.0279
Okay Bear #3777,Grey,Travel Coat,Happy,,Red Panda,Skate Cap,Drool,0.1261,0.0276,0.0097,0.0788,0.0101,0.6672,0.0551
Okay Bear #3778,White,Sling Pack,Annoyed,,Grizzly,Worn Out Beanie,Okay,0.1265,0.144,0.2305,0.1309,0.022,0.6672,0.026
Okay Bear #3779,Green,Okay Tee,Interested,,Dark Brown,,Gah,0.126,0.1268,0.0426,0.0671,0.0273,0.6672,0.2698
Okay Bear #378,White,Utility Vest,Disappointed,,Dark Brown,Backwards Flat Cap,Haa,0.1265,0.1268,0.022,0.094,0.0197,0.6672,0.0303
Okay Bear #3780,White,,Defeated,,Sand,,Beaming Smile,0.1265,0.0818,0.0233,0.0526,0.1965,0.6672,0.2698
Okay Bear #3781,Yellow,Aviator Jacket,Disappointed,,Tan,Sweatband,Pouting,0.1222,0.1413,0.1231,0.094,0.0075,0.6672,0.0352
Okay Bear #3782,Yellow,Hawaiian Shirt,Annoyed,Round Glasses,Panda,Pencil,Wry,0.1222,0.039,0.0922,0.1309,0.0178,0.0374,0.0379
Okay Bear #3783,Warm Grey,,Defeated,Punk Sunglasses,Polar,,Okay,0.1227,0.0641,0.2305,0.0526,0.1965,0.0269,0.2698
Okay Bear #3784,Grey,Torn Sleeveless Tee,Defeated,,Polar,,Oou,0.1261,0.0641,0.0271,0.0526,0.0315,0.6672,0.2698
Okay Bear #3785,Blue,,Sarcastic,,Albino,Pencil,Gah,0.1252,0.0456,0.0426,0.0965,0.1965,0.6672,0.0379
Okay Bear #3786,Green,Black Tee,Happy,,Tan,Baker Boy Hat,Hmm,0.126,0.1413,0.0302,0.0788,0.0383,0.6672,0.0214
Okay Bear #3787,Warm Grey,Black Tee,Annoyed,,Grizzly,Rubik's Cube,Asparagus,0.1227,0.144,0.0076,0.1309,0.0383,0.6672,0.0041
Okay Bear #3788,Grey,Torn Sleeveless Tee,Sad,Punk Sunglasses,Sun,Worn Out Cap,Pouting,0.1261,0.0259,0.1231,0.0507,0.0315,0.0269,0.0279
Okay Bear #3789,Blue,,Annoyed,,Tan,Black Bucket Hat,Wry,0.1252,0.1413,0.0922,0.1309,0.1965,0.6672,0.0412
Okay Bear #379,Grey,Vintage Windbreaker,Disappointed,Aviator Sunglasses,Polar,Classic Cap,Okay,0.1261,0.0641,0.2305,0.094,0.0193,0.0409,0.0337
Okay Bear #3790,Cream,Puffer Jacket,Annoyed,,Sand,Worn Out Cap,Okay,0.1326,0.0818,0.2305,0.1309,0.0227,0.6672,0.0279
Okay Bear #3791,Warm Grey,Woven Sweater,Wide Eyed,,Grizzly,Bandana,Beaming Smile,0.1227,0.144,0.0233,0.026,0.0208,0.6672,0.0424
Okay Bear #3792,Cream,Autumn Sweater,Defeated,,Sand,Sticky Note,Hmm,0.1326,0.0818,0.0302,0.0526,0.0175,0.6672,0.023
Okay Bear #3793,Purple,Legacy Windbreaker,Okay,,Tan,Pencil,Okay,0.1187,0.1413,0.2305,0.2023,0.0115,0.6672,0.0379
Okay Bear #3794,Blue,Sling Pack,Happy,,Panda,Bandana,Clean Smile,0.1252,0.039,0.0797,0.0788,0.022,0.6672,0.0424
Okay Bear #3795,Purple,Black Tee,Okay,,Ginger,Bandana,Okay,0.1187,0.0606,0.2305,0.2023,0.0383,0.6672,0.0424
Okay Bear #3796,White,,Tired,,Dark Brown,,Pouting,0.1265,0.1268,0.1231,0.0454,0.1965,0.6672,0.2698
Okay Bear #3797,White,,Disappointed,,Panda,Runner Cap,Eight Ball,0.1265,0.039,0.0038,0.094,0.1965,0.6672,0.0339
Okay Bear #3798,Grey,Vintage Windbreaker,Okay,,Tan,Visor,Pouting,0.1261,0.1413,0.1231,0.2023,0.0193,0.6672,0.0309
Okay Bear #3799,Blue,Torn Tee,Annoyed,,Dark Brown,Pencil,Bubble Gum,0.1252,0.1268,0.0101,0.1309,0.0104,0.6672,0.0379
Okay Bear #38,Cream,Black Tee,Okay,,Sand,Bandana,Okay,0.1326,0.0818,0.2305,0.2023,0.0383,0.6672,0.0424
Okay Bear #380,Purple,Sleeveless Tee,Okay,Snow Goggles,Sun,,Okay,0.1187,0.0259,0.2305,0.2023,0.0286,0.0121,0.2698
Okay Bear #3800,Warm Grey,Pullover Windbreaker,Sarcastic,,Ginger,Skate Cap,Forced Smile,0.1227,0.0606,0.0116,0.0965,0.0204,0.6672,0.0551
Okay Bear #3801,White,Vintage Windbreaker,Happy,,Tan,Flat Cap,Pouting,0.1265,0.1413,0.1231,0.0788,0.0193,0.6672,0.0122
Okay Bear #3802,Grey,Striped Tee,Okay,,Dark Brown,Earrings,Grimace,0.1261,0.1268,0.0099,0.2023,0.0357,0.6672,0.0266
Okay Bear #3803,Blue,,Okay,,Dark Brown,,Wry,0.1252,0.1268,0.0922,0.2023,0.1965,0.6672,0.2698
Okay Bear #3804,Yellow,Silk Robe,Tired,,Sun,Runner Cap,Proud,0.1222,0.0259,0.0528,0.0454,0.006,0.6672,0.0339
Okay Bear #3805,Purple,Black Tee,Spirited,,Polar,,Hmm,0.1187,0.0641,0.0302,0.062,0.0383,0.6672,0.2698
Okay Bear #3806,Warm Grey,Insulated Jacket,Sad,Pixel Glasses,Polar,,Pouting,0.1227,0.0641,0.1231,0.0507,0.0155,0.032,0.2698
Okay Bear #3807,Cream,Scarf,White Glow,,Wood,Flat Cap,Pouting,0.1326,0.0201,0.1231,0.0341,0.013,0.6672,0.0122
Okay Bear #3808,Green,Double Jacket,Sarcastic,Aviator Sunglasses,Grizzly,Visor,Clean Smile,0.126,0.144,0.0797,0.0965,0.0251,0.0409,0.0309
Okay Bear #3809,Green,Faded Denim Jacket,Sarcastic,,Tan,Visor,Clean Smile,0.126,0.1413,0.0797,0.0965,0.0193,0.6672,0.0309
Okay Bear #381,Purple,Winter Scarf,Annoyed,Clear Glasses,Wood,Worn Out Beanie,Pouting,0.1187,0.0201,0.1231,0.1309,0.006,0.0407,0.026
Okay Bear #3810,Purple,Olive Windbreaker,Defeated,Round Glasses,Ginger,Book,Bubble Gum,0.1187,0.0606,0.0101,0.0526,0.0256,0.0374,0.0086
Okay Bear #3811,Warm Grey,Sleeveless Tee,Okay,Round Glasses,Green,,Oou,0.1227,0.0456,0.0271,0.2023,0.0286,0.0374,0.2698
Okay Bear #3812,Warm Grey,Double Jacket,Disappointed,,Black,Sweatband,Toothpick,0.1227,0.0495,0.0116,0.094,0.0251,0.6672,0.0352
Okay Bear #3813,Purple,Insulated Jacket,Interested,,Pink,Beret,Okay,0.1187,0.0426,0.2305,0.0671,0.0155,0.6672,0.0292
Okay Bear #3814,White,Puffer Jacket,Wide Eyed,,Dark Brown,Ear Tag,Pouting,0.1265,0.1268,0.1231,0.026,0.0227,0.6672,0.0191
Okay Bear #3815,Green,Sleeveless Tee,Interested,,Polar,Black Bucket Hat,Toothpick,0.126,0.0641,0.0116,0.0671,0.0286,0.6672,0.0412
Okay Bear #3816,White,Golf Polo,White Glow,Punk Sunglasses,Sand,Classic Cap,Bubble Gum,0.1265,0.0818,0.0101,0.0341,0.02,0.0269,0.0337
Okay Bear #3817,Warm Grey,Vintage Windbreaker,Annoyed,,Ginger,,Raspberry,0.1227,0.0606,0.0253,0.1309,0.0193,0.6672,0.2698
Okay Bear #3818,Grey,Woven Sweater,Okay,Circle Sunglasses,Polar,Runner Cap,Oou,0.1261,0.0641,0.0271,0.2023,0.0208,0.0282,0.0339
Okay Bear #3819,Green,Leather Jacket,Sarcastic,,Black,,Hmm,0.126,0.0495,0.0302,0.0965,0.013,0.6672,0.2698
Okay Bear #382,White,Vintage Windbreaker,Annoyed,Aviator Sunglasses,Tan,,Honey,0.1265,0.1413,0.0054,0.1309,0.0193,0.0409,0.2698
Okay Bear #3820,Purple,Legacy Windbreaker,Tired,,Dark Brown,,Okay,0.1187,0.1268,0.2305,0.0454,0.0115,0.6672,0.2698
Okay Bear #3821,Cream,Golf Polo,Closed,,Ginger,Black Bucket Hat,Pouting,0.1326,0.0606,0.1231,0.031,0.02,0.6672,0.0412
Okay Bear #3822,Warm Grey,Puffer Jacket,Annoyed,Clear Glasses,Dark Brown,Skate Cap,Okay,0.1227,0.1268,0.2305,0.1309,0.0227,0.0407,0.0551
Okay Bear #3823,Purple,,Disappointed,Holographic,Green,,Okay,0.1187,0.0456,0.2305,0.094,0.1965,0.0171,0.2698
Okay Bear #3824,Green,Loose Overalls,Spirited,Wayfarer Sunglasses,Dark Brown,,Toothpick,0.126,0.1268,0.0116,0.062,0.0268,0.0438,0.2698
Okay Bear #3825,Cream,Utility Vest,Disappointed,Circle Sunglasses,Lofi,Worn Out Beanie,Pouting,0.1326,0.0196,0.1231,0.094,0.0197,0.0282,0.026
Okay Bear #3826,White,Polo with Headphones,Sad,Aviator Sunglasses,Sand,Runner Cap,Hmm,0.1265,0.0818,0.0302,0.0507,0.0114,0.0409,0.0339
Okay Bear #3827,Yellow,Pullover Windbreaker,Okay,,Wood,,Haa,0.1222,0.0201,0.022,0.2023,0.0204,0.6672,0.2698
Okay Bear #3828,Blue,Puffer Jacket,Wide Eyed,,Albino,Rabbit Fur Hat,Proud,0.1252,0.0456,0.0528,0.026,0.0227,0.6672,0.0085
Okay Bear #3829,Grey,Leather Jacket,Disappointed,,Polar,Head Cam,Beaming Smile,0.1261,0.0641,0.0233,0.094,0.013,0.6672,0.0146
Okay Bear #383,White,Summer Shirt,Wide Eyed,Aviator Sunglasses,Grizzly,,Gah,0.1265,0.144,0.0426,0.026,0.0229,0.0409,0.2698
Okay Bear #3830,Green,,Interested,,Dark Brown,,Yoyo,0.126,0.1268,0.0048,0.0671,0.1965,0.6672,0.2698
Okay Bear #3831,Yellow,,Spirited,,Albino,Flat Hat,Forced Smile,0.1222,0.0456,0.0116,0.062,0.1965,0.6672,0.029
Okay Bear #3832,White,Striped Tee,Annoyed,,Polar,Backwards Skate Cap,Wheat,0.1265,0.0641,0.0217,0.1309,0.0357,0.6672,0.0212
Okay Bear #3833,Yellow,Aviator Jacket,Interested,Pixel Glasses,Tan,Bandana,Okay,0.1222,0.1413,0.2305,0.0671,0.0075,0.032,0.0424
Okay Bear #3834,Grey,Puffer Jacket,Interested,,Grizzly,,Toothpick,0.1261,0.144,0.0116,0.0671,0.0227,0.6672,0.2698
Okay Bear #3835,Blue,Urban Hoodie,Tired,,Sand,Black Bucket Hat,Pouting,0.1252,0.0818,0.1231,0.0454,0.012,0.6672,0.0412
Okay Bear #3836,Grey,Utility Vest,Annoyed,,Pink,Backwards Flat Cap,Huh,0.1261,0.0426,0.0344,0.1309,0.0197,0.6672,0.0303
Okay Bear #3837,Purple,,Okay,,Grizzly,Army Hat,Oou,0.1187,0.144,0.0271,0.2023,0.1965,0.6672,0.0239
Okay Bear #3838,White,Torn Tee,Annoyed,Clear Glasses,Albino,Ear Tag,Okay,0.1265,0.0456,0.2305,0.1309,0.0104,0.0407,0.0191
Okay Bear #3839,Warm Grey,Woven Sweater,Tired,,Grizzly,,Okay,0.1227,0.144,0.2305,0.0454,0.0208,0.6672,0.2698
Okay Bear #384,Blue,,Golden Glow,,Ginger,Runner Cap,Okay,0.1252,0.0606,0.2305,0.0199,0.1965,0.6672,0.0339
Okay Bear #3840,Yellow,Suede Jacket,Okay,,Tan,Flat Hat,Wry,0.1222,0.1413,0.0922,0.2023,0.0202,0.6672,0.029
Okay Bear #3841,White,,Okay,,Dark Brown,Army Hat,Clean Smile,0.1265,0.1268,0.0797,0.2023,0.1965,0.6672,0.0239
Okay Bear #3842,White,Vintage Shirt,Okay,,Tan,Army Hat,Wry,0.1265,0.1413,0.0922,0.2023,0.0275,0.6672,0.0239
Okay Bear #3843,Grey,Sling Pack,Sarcastic,,Tan,Worn Out Cap,Pouting,0.1261,0.1413,0.1231,0.0965,0.022,0.6672,0.0279
Okay Bear #3844,Purple,Legacy Windbreaker,Okay,,Ginger,,Sneer,0.1187,0.0606,0.0211,0.2023,0.0115,0.6672,0.2698
Okay Bear #3845,Cream,Striped Tee,Spirited,Wayfarer Sunglasses,Dark Brown,,Huh,0.1326,0.1268,0.0344,0.062,0.0357,0.0438,0.2698
Okay Bear #3846,Purple,Black Tee,Disappointed,Punk Sunglasses,Dark Brown,Worn Out Beanie,Gah,0.1187,0.1268,0.0426,0.094,0.0383,0.0269,0.026
Okay Bear #3847,Purple,,Spirited,,Albino,Runner Cap,Pouting,0.1187,0.0456,0.1231,0.062,0.1965,0.6672,0.0339
Okay Bear #3848,Warm Grey,,Annoyed,Pixel Glasses,Grizzly,Pom Pom Beanie,Proud,0.1227,0.144,0.0528,0.1309,0.1965,0.032,0.0256
Okay Bear #3849,Grey,,Okay,,Panda,Ear Tag,Haa,0.1261,0.039,0.022,0.2023,0.1965,0.6672,0.0191
Okay Bear #385,Purple,Okay Hoodie,Wide Eyed,,Dark Brown,Surf Bucket Hat,Okay,0.1187,0.1268,0.2305,0.026,0.015,0.6672,0.0133
Okay Bear #3850,Blue,Okay Hoodie,Disappointed,,Black,,Wry,0.1252,0.0495,0.0922,0.094,0.015,0.6672,0.2698
Okay Bear #3851,Cream,Woven Sweater,Okay,,Ginger,Classic Cap,Clean Smile,0.1326,0.0606,0.0797,0.2023,0.0208,0.6672,0.0337
Okay Bear #3852,Purple,Travel Coat,Closed,Snow Goggles,Blueprint,,Wry,0.1187,0.0158,0.0922,0.031,0.0101,0.0121,0.2698
Okay Bear #3853,White,Olive Windbreaker,Okay,,Dark Brown,Flat Cap,Proud,0.1265,0.1268,0.0528,0.2023,0.0256,0.6672,0.0122
Okay Bear #3854,Warm Grey,Puffer Jacket,Sarcastic,,Sun,Beret,Grimace,0.1227,0.0259,0.0099,0.0965,0.0227,0.6672,0.0292
Okay Bear #3855,Blue,Denim Jacket,Okay,Aviator Sunglasses,Pink,,Proud,0.1252,0.0426,0.0528,0.2023,0.0091,0.0409,0.2698
Okay Bear #3856,Yellow,,Sarcastic,,Albino,Black Bucket Hat,Clean Smile,0.1222,0.0456,0.0797,0.0965,0.1965,0.6672,0.0412
Okay Bear #3857,Cream,Hawaiian Shirt,Okay,,Andean,Bandana,Hmm,0.1326,0.0377,0.0302,0.2023,0.0178,0.6672,0.0424
Okay Bear #3858,Purple,Puffer Jacket,Robot,,Grizzly,Flat Hat,Okay,0.1187,0.144,0.2305,0.0087,0.0227,0.6672,0.029
Okay Bear #3859,Yellow,Vintage Shirt,Okay,,Dark Brown,,Gah,0.1222,0.1268,0.0426,0.2023,0.0275,0.6672,0.2698
Okay Bear #386,Yellow,Vintage Windbreaker,Okay,,Pink,Earrings,Wry,0.1222,0.0426,0.0922,0.2023,0.0193,0.6672,0.0266
Okay Bear #3860,Grey,Sleeveless Tee,Sarcastic,,Andean,Baker Boy Hat,Huh,0.1261,0.0377,0.0344,0.0965,0.0286,0.6672,0.0214
Okay Bear #3861,Blue,Wool Overcoat,Okay,Wayfarer Sunglasses,Sand,Black Bucket Hat,Grimace,0.1252,0.0818,0.0099,0.2023,0.012,0.0438,0.0412
Okay Bear #3862,Purple,Hooded Cardigan,Interested,,Green,Beret,Pouting,0.1187,0.0456,0.1231,0.0671,0.0161,0.6672,0.0292
Okay Bear #3863,Green,Black Tee,Closed,,Black,Head Cam,Ohh,0.126,0.0495,0.0243,0.031,0.0383,0.6672,0.0146
Okay Bear #3864,White,Torn Sleeveless Tee,Tired,,Dark Brown,,Okay,0.1265,0.1268,0.2305,0.0454,0.0315,0.6672,0.2698
Okay Bear #3865,Grey,Faded Denim Jacket,Okay,,Sand,Backwards Flat Cap,Pouting,0.1261,0.0818,0.1231,0.2023,0.0193,0.6672,0.0303
Okay Bear #3866,Cream,Sling Pack,Interested,Circle Sunglasses,Pink,Beret,Okay,0.1326,0.0426,0.2305,0.0671,0.022,0.0282,0.0292
Okay Bear #3867,Grey,Woven Sweater,Okay,,Red Panda,Skate Cap,Raspberry,0.1261,0.0276,0.0253,0.2023,0.0208,0.6672,0.0551
Okay Bear #3868,Purple,Okay Tee,Interested,Clear Glasses,Dark Brown,Skate Cap,Okay,0.1187,0.1268,0.2305,0.0671,0.0273,0.0407,0.0551
Okay Bear #3869,Warm Grey,Striped Tee,Okay,,Andean,Pencil,Forced Smile,0.1227,0.0377,0.0116,0.2023,0.0357,0.6672,0.0379
Okay Bear #387,Warm Grey,,Disappointed,,Polar,Sweatband,Okay,0.1227,0.0641,0.2305,0.094,0.1965,0.6672,0.0352
Okay Bear #3870,White,,Annoyed,Flying Goggles,Dark Brown,Ear Tag,Pouting,0.1265,0.1268,0.1231,0.1309,0.1965,0.0183,0.0191
Okay Bear #3871,Cream,,Golden Glow,,Polar,Classic Cap,Okay,0.1326,0.0641,0.2305,0.0199,0.1965,0.6672,0.0337
Okay Bear #3872,Blue,Summer Shirt,Spirited,,Blueprint,Okay Beanie,Drool,0.1252,0.0158,0.0097,0.062,0.0229,0.6672,0.0301
Okay Bear #3873,Purple,Woven Sweater,Okay,Aviator Sunglasses,Panda,Sweatband,Beaming Smile,0.1187,0.039,0.0233,0.2023,0.0208,0.0409,0.0352
Okay Bear #3874,Green,Loose Overalls,Defeated,,Ginger,Pencil,Okay,0.126,0.0606,0.2305,0.0526,0.0268,0.6672,0.0379
Okay Bear #3875,Yellow,Autumn Sweater,White Glow,Snow Goggles,Black,,Pencil,0.1222,0.0495,0.0081,0.0341,0.0175,0.0121,0.2698
Okay Bear #3876,Cream,Vintage Shirt,Okay,,Lofi,Backwards Flat Cap,Ugh,0.1326,0.0196,0.0151,0.2023,0.0275,0.6672,0.0303
Okay Bear #3877,Green,Black Tee,Sarcastic,Flying Goggles,Dark Brown,,Pouting,0.126,0.1268,0.1231,0.0965,0.0383,0.0183,0.2698
Okay Bear #3878,Cream,Silk Robe,Happy,Clear Glasses,Pink,Worn Out Beanie,Hmm,0.1326,0.0426,0.0302,0.0788,0.006,0.0407,0.026
Okay Bear #3879,Yellow,,Happy,Punk Sunglasses,Albino,,Oou,0.1222,0.0456,0.0271,0.0788,0.1965,0.0269,0.2698
Okay Bear #388,Warm Grey,Cord Tracksuit,Okay,,Dark Brown,Bandana,Beaming Smile,0.1227,0.1268,0.0233,0.2023,0.0139,0.6672,0.0424
Okay Bear #3880,Grey,Polo with Headphones,Sarcastic,,Pink,Mumford Hat,Pouting,0.1261,0.0426,0.1231,0.0965,0.0114,0.6672,0.0175
Okay Bear #3881,Warm Grey,Sleeveless Tee,Okay,,Pink,Classic Cap,Wry,0.1227,0.0426,0.0922,0.2023,0.0286,0.6672,0.0337
Okay Bear #3882,Grey,Vintage Windbreaker,Annoyed,,Albino,Chullo,Okay,0.1261,0.0456,0.2305,0.1309,0.0193,0.6672,0.0078
Okay Bear #3883,White,Black Suit,Okay,,Polar,Bandana,Gah,0.1265,0.0641,0.0426,0.2023,0.0037,0.6672,0.0424
Okay Bear #3884,Cream,Formal Vest,Disappointed,,Grizzly,,Okay,0.1326,0.144,0.2305,0.094,0.0157,0.6672,0.2698
Okay Bear #3885,Cream,Sleeveless Tee,Sarcastic,Holographic,Tan,Black Bucket Hat,Bubble Gum,0.1326,0.1413,0.0101,0.0965,0.0286,0.0171,0.0412
Okay Bear #3886,Purple,Vintage Windbreaker,Sarcastic,,Dark Brown,Worn Out Cap,Okay,0.1187,0.1268,0.2305,0.0965,0.0193,0.6672,0.0279
Okay Bear #3887,Yellow,Hawaiian Shirt,Interested,Aviator Sunglasses,Wood,Beret,Okay,0.1222,0.0201,0.2305,0.0671,0.0178,0.0409,0.0292
Okay Bear #3888,Grey,Tweed Suit,Tired,,Red Panda,Book,Earphones,0.1261,0.0276,0.0049,0.0454,0.0088,0.6672,0.0086
Okay Bear #3889,Blue,,Robot,,Wood,Worn Out Cap,Pencil,0.1252,0.0201,0.0081,0.0087,0.1965,0.6672,0.0279
Okay Bear #389,White,,Closed,Circle Sunglasses,Andean,Skate Cap,Clean Smile,0.1265,0.0377,0.0797,0.031,0.1965,0.0282,0.0551
Okay Bear #3890,Green,Wool Overcoat,Interested,,Sand,Sweatband,Wry,0.126,0.0818,0.0922,0.0671,0.012,0.6672,0.0352
Okay Bear #3891,White,,Closed,,Tan,Mumford Hat,Ohh,0.1265,0.1413,0.0243,0.031,0.1965,0.6672,0.0175
Okay Bear #3892,Grey,Sling Pack,Spirited,Clear Glasses,Andean,Sweatband,Wry,0.1261,0.0377,0.0922,0.062,0.022,0.0407,0.0352
Okay Bear #3893,Grey,Urban Hoodie,Robot,,Andean,Classic Cap,Okay,0.1261,0.0377,0.2305,0.0087,0.012,0.6672,0.0337
Okay Bear #3894,Cream,Double Jacket,Annoyed,Clear Glasses,Tan,Runner Cap,Wry,0.1326,0.1413,0.0922,0.1309,0.0251,0.0407,0.0339
Okay Bear #3895,Warm Grey,Leather Jacket,Disappointed,,Tan,,Okay,0.1227,0.1413,0.2305,0.094,0.013,0.6672,0.2698
Okay Bear #3896,Warm Grey,Okay Tee,Disappointed,,Tan,,Ohh,0.1227,0.1413,0.0243,0.094,0.0273,0.6672,0.2698
Okay Bear #3897,Purple,Sleeveless Tee,Wide Eyed,,Tan,Black Bucket Hat,Ugh,0.1187,0.1413,0.0151,0.026,0.0286,0.6672,0.0412
Okay Bear #3898,White,Woven Sweater,Spirited,,Andean,,Wheat,0.1265,0.0377,0.0217,0.062,0.0208,0.6672,0.2698
Okay Bear #3899,Blue,Formal Vest,Sarcastic,Clear Glasses,Green,Ear Tag,Okay,0.1252,0.0456,0.2305,0.0965,0.0157,0.0407,0.0191
Okay Bear #39,Purple,Torn Sleeveless Tee,Closed,,Ginger,Classic Cap,Huh,0.1187,0.0606,0.0344,0.031,0.0315,0.6672,0.0337
Okay Bear #390,Green,Vintage Shirt,Disappointed,,Tan,Classic Cap,Hmm,0.126,0.1413,0.0302,0.094,0.0275,0.6672,0.0337
Okay Bear #3900,White,Wool Overcoat,Interested,Wayfarer Sunglasses,Grizzly,Worn Out Beanie,Okay,0.1265,0.144,0.2305,0.0671,0.012,0.0438,0.026
Okay Bear #3901,Cream,Wool Overcoat,Disappointed,,Lofi,Black Bucket Hat,Drool,0.1326,0.0196,0.0097,0.094,0.012,0.6672,0.0412
Okay Bear #3902,Green,Sling Pack,Defeated,,Polar,Earrings,Raspberry,0.126,0.0641,0.0253,0.0526,0.022,0.6672,0.0266
Okay Bear #3903,Blue,Coat with Headphones,Interested,,Black,Bandana,Forced Smile,0.1252,0.0495,0.0116,0.0671,0.009,0.6672,0.0424
Okay Bear #3904,White,Striped Tee,Robot,,Polar,Classic Cap,Okay,0.1265,0.0641,0.2305,0.0087,0.0357,0.6672,0.0337
Okay Bear #3905,Warm Grey,Striped Tee,Happy,Round Glasses,Sand,Surf Bucket Hat,Forced Smile,0.1227,0.0818,0.0116,0.0788,0.0357,0.0374,0.0133
Okay Bear #3906,Grey,,Okay,,Grizzly,Visor,Haa,0.1261,0.144,0.022,0.2023,0.1965,0.6672,0.0309
